date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:00:39	427/427	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2021%20Sep%202018%2013:00:43%20GMT	http://demos.hogash.com/dannys/wp-content/uploads/sites/4/zn_dynamic.css?ver=1504169779	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-content/uploads/sites/4/zn_dynamic.e72da.delayed	(from https://demos.hogash.com/dannys/)
15:00:39	51590/51590	---MCZ	200	added ('OK')	text/css	etag:W/%22c986-558979dc03b71%22	https://demos.hogash.com/dannys/wp-content/uploads/sites/4/zion-builder/cache/282-layout.css?ver=558566b1e47ed032938405059283b51d	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-content/uploads/sites/4/zion-builder/cache/282-layout7a3d.css	(from https://demos.hogash.com/dannys/)
15:00:39	4203/4203	---MCZ	200	added ('OK')	text/css	etag:W/%22106b-55808d164381c%22	https://demos.hogash.com/dannys/wp-content/uploads/sites/4/zn_dynamic.css?ver=1504169779	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-content/uploads/sites/4/zn_dynamic72da.css	(from https://demos.hogash.com/dannys/)
15:00:40	97184/97184	---MCZ	200	added ('OK')	application/javascript	etag:W/%2217ba0-550cd7ffb9e93%22	https://demos.hogash.com/dannys/wp-includes/js/jquery/jquery.js?ver=1.12.4	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-includes/js/jquery/jqueryb8ff.js	(from https://demos.hogash.com/dannys/)
15:00:40	10056/10056	---MCZ	200	added ('OK')	application/javascript	etag:W/%222748-550cd7fed7d58%22	https://demos.hogash.com/dannys/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://demos.hogash.com/dannys/)
15:00:40	5442/5442	---MCZ	200	added ('OK')	application/javascript	etag:W/%221542-5711ba1f34941%22	https://demos.hogash.com/dannys/wp-content/plugins/color-filters/js/ewd-uwcf-js.js?ver=2.0.5	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-content/plugins/color-filters/js/ewd-uwcf-jsc1b4.js	(from https://demos.hogash.com/dannys/)
15:00:40	110563/110563	---MCZ	200	added ('OK')	application/javascript	etag:W/%221afe3-566e466eddac9%22	https://demos.hogash.com/dannys/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min.js?ver=5.4.7.1	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min8c43.js	(from https://demos.hogash.com/dannys/)
15:00:40	64904/64904	---MCZ	200	added ('OK')	application/javascript	etag:W/%22fd88-566e466eddac9%22	https://demos.hogash.com/dannys/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min.js?ver=5.4.7.1	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min8c43.js	(from https://demos.hogash.com/dannys/)
15:00:41	1203/1203	---MCZ	200	added ('OK')	application/javascript	etag:W/%224b3-56cc812751802%22	https://demos.hogash.com/dannys/wp-content/plugins/wordpress-popular-posts/public/js/wpp-4.1.0.min.js?ver=4.1.0	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-content/plugins/wordpress-popular-posts/public/js/wpp-4.1.0.minbfce.js	(from https://demos.hogash.com/dannys/)
15:00:42	878/878	---MCZ	200	added ('OK')	text/xml	date:Fri,%2021%20Sep%202018%2013:00:45%20GMT	https://demos.hogash.com/dannys/xmlrpc.php?rsd	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/xmlrpc0db0.php	(from https://demos.hogash.com/dannys/)
15:00:42	1045/1045	---MCZ	200	added ('OK')	application/xml	etag:W/%22415-550cd7b8eb384%22	https://demos.hogash.com/dannys/wp-includes/wlwmanifest.xml	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-includes/wlwmanifest.xml	(from https://demos.hogash.com/dannys/)
15:00:42	339491/339491	---MCZ	200	added ('OK')	application/json	date:Fri,%2021%20Sep%202018%2013:00:45%20GMT	https://demos.hogash.com/dannys/wp-json/	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-json/index.html	(from https://demos.hogash.com/dannys/)
15:00:43	2218/2218	---MCZ	200	added ('OK')	application/json	date:Fri,%2021%20Sep%202018%2013:00:46%20GMT	https://demos.hogash.com/dannys/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdemos.hogash.com%2Fdannys%2F	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-json/oembed/1.0/embed15c6.json	(from https://demos.hogash.com/dannys/)
15:00:43	2313/2313	---MCZ	200	added ('OK')	text/xml	date:Fri,%2021%20Sep%202018%2013:00:47%20GMT	https://demos.hogash.com/dannys/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdemos.hogash.com%2Fdannys%2F&format=xml	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-json/oembed/1.0/embed83e0	(from https://demos.hogash.com/dannys/)
15:00:43	385/385	---M--	200	added ('OK')	image/png	etag:%22181-55252810782ff%22	https://demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/06/cropped-DannysFavicon-32x32.png	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/06/cropped-DannysFavicon-32x32.png	(from https://demos.hogash.com/dannys/)
15:00:43	1953/1953	---M--	200	added ('OK')	image/png	etag:%227a1-55252807b09ac%22	https://demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/06/cropped-DannysFavicon-192x192.png	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/06/cropped-DannysFavicon-192x192.png	(from https://demos.hogash.com/dannys/)
15:00:44	2363/2363	---M--	200	added ('OK')	image/png	etag:%2293b-5525280d55eec%22	https://demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/06/cropped-DannysFavicon-180x180.png	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/06/cropped-DannysFavicon-180x180.png	(from https://demos.hogash.com/dannys/)
15:00:44	12998/12998	---M--	200	added ('OK')	image/png	etag:%2232c6-5514800e9ef16%22	https://demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/05/preloader_logo.png	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/05/preloader_logo.png	(from https://demos.hogash.com/dannys/)
15:00:44	767/767	---M--	200	added ('OK')	image/png	etag:%222ff-55148c41100ac%22	https://demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/05/logo.png	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/05/logo.png	(from https://demos.hogash.com/dannys/)
15:00:44	356319/356319	---M--	200	added ('OK')	image/jpeg	etag:%2256fdf-55148b0ab2347%22	https://demos.hogash.com/dannys/wp-content/uploads/sites/4/revslider/restaurant_slider/slide_01.jpg	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-content/uploads/sites/4/revslider/restaurant_slider/slide_01.jpg	(from https://demos.hogash.com/dannys/)
15:00:45	9454/9454	---M--	200	added ('OK')	image/png	etag:%2224ee-55148b0a7c7e5%22	https://demos.hogash.com/dannys/wp-content/uploads/sites/4/revslider/restaurant_slider/slide_logo.png	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-content/uploads/sites/4/revslider/restaurant_slider/slide_logo.png	(from https://demos.hogash.com/dannys/)
15:00:45	436573/436573	---M--	200	added ('OK')	image/jpeg	etag:%226a95d-55148af8d4a9e%22	https://demos.hogash.com/dannys/wp-content/uploads/sites/4/revslider/restaurant_slider/slide_03.jpg	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-content/uploads/sites/4/revslider/restaurant_slider/slide_03.jpg	(from https://demos.hogash.com/dannys/)
15:00:45	457785/457785	---M--	200	added ('OK')	image/jpeg	etag:%226fc39-55148af27069d%22	https://demos.hogash.com/dannys/wp-content/uploads/sites/4/revslider/restaurant_slider/slide_04.jpg	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-content/uploads/sites/4/revslider/restaurant_slider/slide_04.jpg	(from https://demos.hogash.com/dannys/)
15:00:45	486911/486911	---M--	200	added ('OK')	image/jpeg	etag:%2276dff-55148aea128ac%22	https://demos.hogash.com/dannys/wp-content/uploads/sites/4/revslider/restaurant_slider/slide_02.jpg	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-content/uploads/sites/4/revslider/restaurant_slider/slide_02.jpg	(from https://demos.hogash.com/dannys/)
15:00:45	99473/99473	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Sep%202018%2013:00:49%20GMT	https://demos.hogash.com/dannys/home-2/	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/home-2/index.html	(from https://demos.hogash.com/dannys/)
15:00:45	397997/397997	---M--	200	added ('OK')	image/jpeg	etag:%22612ad-55148ae239f90%22	https://demos.hogash.com/dannys/wp-content/uploads/sites/4/revslider/restaurant_slider/slide_05.jpg	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-content/uploads/sites/4/revslider/restaurant_slider/slide_05.jpg	(from https://demos.hogash.com/dannys/)
15:00:46	172763/172763	---M--	200	added ('OK')	image/jpeg	etag:%222a2db-55148c57d9da4%22	https://demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/05/img_01.jpg	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/05/img_01.jpg	(from https://demos.hogash.com/dannys/)
15:00:46	70903/70903	---M--	200	added ('OK')	image/jpeg	etag:%22114f7-55148c57c3a2a%22	https://demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/05/img_02.jpg	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/05/img_02.jpg	(from https://demos.hogash.com/dannys/)
15:00:46	224261/224261	---M--	200	added ('OK')	image/jpeg	etag:%2236c05-55147fb7284a6%22	https://demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/05/img_03.jpg	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/05/img_03.jpg	(from https://demos.hogash.com/dannys/)
15:00:46	159460/159460	---M--	200	added ('OK')	image/jpeg	etag:%2226ee4-55148c4862550%22	https://demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/05/img_05.jpg	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/05/img_05.jpg	(from https://demos.hogash.com/dannys/)
